Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P33599,68174.53178,NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3,nuoC,2452,925
P0A8M3,73948.79422,Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1,thrS,1256,812
P26616,63139.24904,NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeA PE=1 SV=4,maeA,1000,490
P00452,85703.20812,Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2,nrdA,950,414
P0A9B2,35492.2309,Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2,gapA,46842,43005
P0A7Z4,36471.13747,DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1,rpoA,26710,16896
P60422,29824.00117,50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2,rplB,29298,12264
P0A9P0,50638.58341,Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2,lpdA,23262,12055
P0ABH7,47965.89357,Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1,gltA,13800,7821
P17169,66834.61906,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4,glmS,4471,4042
P0A8N3,57549.12811,Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2,lysS,3790,2272
P33602,100217.9683,NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4,nuoG,2849,1090
P23538,87361.60027,Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5,ppsA,2106,837
P0ABH9,84136.91889,ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) GN=clpA PE=1 SV=1,clpA,565,383
P06612,97270.30707,DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2,topA,602,246
P32176,112549,Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5,fdoG,1567,126
P61889,32299.20422,Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1,mdh,86228,45044
P0AD96,39033.9819,Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1,livJ,568,25126
P00509,43527.99762,Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,aspC,3586,7538
P0A7D4,47297.28625,Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2,purA,9529,6847
P0A8M0,52519.41644,Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2,asnS,5294,4726
P32132,67295.47014,GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2,typA,3319,2935
P0AB89,51492.59536,Adenylosuccinate lyase OS=Escherichia coli (strain K12) GN=purB PE=1 SV=1,purB,935,1802
P35340,56124.08085,Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2,ahpF,3624,1872
P24182,49271.30273,Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2,accC,4823,2215
P00962,63419.78257,Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3,glnS,1405,1309
P11875,64623.81965,Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1,argS,1012,771
P0A9P6,70484.62084,Cold-shock DEAD box protein A OS=Escherichia coli (strain K12) GN=deaD PE=1 SV=2,deaD,1163,422
P17315,73832.34947,Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2,cirA,141,490
P04949,51246.56095,Flagellin OS=Escherichia coli (strain K12) GN=fliC PE=1 SV=2,fliC,82245,34900
P33195,104291.7423,Glycine dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) GN=gcvP PE=1 SV=3,gcvP,1534,273
P0A953,42568.05338,3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1,fabB,8672,4557
P0A6B7,45042.91969,Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1,iscS,13975,10684
P0A836,41348.64135,Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) GN=sucC PE=1 SV=1,sucC,18969,7068
P27302,72147.91979,Transketolase 1 OS=Escherichia coli (strain K12) GN=tktA PE=1 SV=5,tktA,5321,3633
P08997,60217.52759,Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1,aceB,1151,2741
P0A8L1,48365.52218,Seryl-tRNA synthetase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1,serS,5192,2367
P09151,57244.09138,2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5,leuA,89,1315
P0AEE5,35672.35627,D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1,mglB,18836,940
P0AGD7,49737.22258,Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1,ffh,1348,816
P06971,82113.29387,Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2,fhuA,318,785
P31554,89597.20601,LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2,lptD,647,456
P38054,114616.0284,Cation efflux system protein CusA OS=Escherichia coli (strain K12) GN=cusA PE=1 SV=2,cusA,62,202
P60240,109682.6916,RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2,rapA,310,77
P13036,85250.95044,Fe(3+) dicitrate transport protein fecA OS=Escherichia coli (strain K12) GN=fecA PE=1 SV=2,fecA,601,23
P0ABK5,34450.28634,Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2,cysK,12970,65475
P0A6P9,45608.41069,Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2,eno,37964,35656
P0A9G6,47473.57659,Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,aceA,11406,15369
P00934,47066.2141,Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1,thrC,3759,13676
P0ADG7,51972.01166,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1,guaB,3974,10846
P02930,53690.18447,Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3,tolC,5303,3968
P04805,53763.78958,Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1,gltX,4317,2890
P0ABP8,25915.01852,Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain K12) GN=deoD PE=1 SV=2,deoD,17475,2656
P0A6H1,46309.17173,ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2,clpX,4226,2504
P0A6K6,44323.944,Phosphopentomutase OS=Escherichia coli (strain K12) GN=deoB PE=1 SV=1,deoB,9560,2151
P77804,54636.91746,Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1,ydgA,1575,841
P05459,41323.77299,Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2,pdxB,897,1068
P07650,47159.0389,Thymidine phosphorylase OS=Escherichia coli (strain K12) GN=deoA PE=1 SV=3,deoA,2642,405
P37330,80419.85713,Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3,glcB,2486,188
P0A7V0,26708.79452,30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2,rpsB,59526,33317
P0A7L0,24696.286,50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2,rplA,65670,31337
P0AE06,42153.07723,Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1,acrA,3670,2242
P23845,52508.01953,Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1,cysN,104,870
P0A6H5,49544.84377,ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) GN=hslU PE=1 SV=1,hslU,2929,883
P06129,68347.35227,Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) GN=btuB PE=1 SV=2,btuB,685,685
P31979,49242.93959,NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3,nuoF,2031,402
P0AB71,39104.59675,Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2,fbaA,20325,17923
P0A870,35179.30906,Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2,talB,12775,9247
P0AFG6,43965.9951,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) GN=sucB PE=1 SV=2,sucB,13477,4783
P0C0V0,49305.44896,Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1,degP,1782,1927
P37689,56140.28406,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1",gpmI,1639,2405
P11447,50268.64352,Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3,argH,582,2554
P0A903,36801.60236,Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1,nlpB,2618,1778
P0AC53,55651.32689,Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1,zwf,1529,1352
P36938,58306.46912,Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1,pgm,1529,1050
P0AEI1,53611.11073,(Dimethylallyl)adenosine tRNA methylthiotransferase miaB OS=Escherichia coli (strain K12) GN=miaB PE=1 SV=1,miaB,1665,1030
P23865,76597.69941,Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2,prc,492,487
P21179,84092.42396,Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1,katE,94,132
P46837,85048.93743,Protein yhgF OS=Escherichia coli (strain K12) GN=yhgF PE=1 SV=3,yhgF,370,245
P33363,83389.45193,Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2,bglX,323,206
P0A7A7,91305.48655,Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2,plsB,186,109
P62399,20270.69129,50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2,rplE,65896,33550
P0AGE9,29740.52945,Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) GN=sucD PE=1 SV=2,sucD,21676,6765
P0AEK4,27828.04478,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2,fabI,8558,5999
P08660,48483.43931,Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2,lysC,368,2982
P67910,34853.12923,ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1,hldD,4862,3263
P09832,51964.01557,Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3,gltD,300,3613
P0ABD5,35201.29042,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2,accA,4927,3071
P07014,26734.23452,Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1,sdhB,9289,2350
P0AEX9,43342.36867,Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1,malE,9363,2059
P0ABZ6,47236.24996,Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1,surA,2326,1533
P37759,40515.2662,"dTDP-glucose 4,6-dehydratase 1 OS=Escherichia coli (strain K12) GN=rfbB PE=3 SV=2",rfbB,1805,867
P60785,66510.34926,Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1,lepA,1390,704
P00579,70201.22445,RNA polymerase sigma factor rpoD OS=Escherichia coli (strain K12) GN=rpoD PE=1 SV=2,rpoD,1798,668
P62620,40640.36094,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispG PE=1 SV=1,ispG,1315,770
P27550,72030.23532,Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2,acs,1082,236
P09394,40799.26496,Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2,glpQ,10391,539
P11454,141883.5654,Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3,entF,12,48
P02359,19988.68708,30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3,rpsG,102200,65097
P06996,40325.36434,Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1,ompC,56743,20763
P02931,39291.06024,Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1,ompF,18617,25214
P23721,39739.97191,Phosphoserine aminotransferase OS=Escherichia coli (strain K12) GN=serC PE=1 SV=4,serC,2525,18184
P09169,35522.27435,Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1,ompT,6114,13138
P0AEM9,29003.20238,Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1,fliY,3247,11047
P0A786,34387.75071,Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2,pyrB,410,10552
P08312,36790.65689,Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2,pheS,3401,2244
P05020,38784.58103,Dihydroorotase OS=Escherichia coli (strain K12) GN=pyrC PE=1 SV=2,pyrC,657,4085
P37095,46133.26021,Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2,pepB,3268,1974
Q59385,87799.79865,Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4,copA,221,3009
P0ABA6,31539.27915,ATP synthase gamma chain OS=Escherichia coli (strain K12) GN=atpG PE=1 SV=1,atpG,2747,1843
P08142,60383.77314,Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1,ilvB,173,985
P22259,59587.99575,Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2,pckA,9231,1442
P0C8J8,47060.76941,"D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1",gatZ,6054,771
P31120,47495.53374,Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3,glmM,2008,1021
P0A7I4,59518.30682,Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2,prfC,1311,905
P22106,62601.08381,Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3,asnB,292,1078
P25516,97597.74141,Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3,acnA,338,183
