Uniprot Accession,Description,Gene,Peptides.used.for.quantitation,Confidence.score,Molecular weight (Da),Dataset,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
P00957,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,alaS,49,3631.87,95954.64438,2,1948,3256,2475,1133,1510,1666,1710,1846,1726,1440,1193,1038,1085,1144,1714,2974,2251,2389,1778,1265,1821,2613
P0A6M8,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,fusA,49,4276.28,77514.47523,2,39027,86623,60762,21360,28956,31263,31225,28633,24574,19959,15430,12886,13324,12394,29539,35283,29860,34978,27365,20501,32672,38115
P00961,Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,glyS,47,3352.04,76746.96578,2,2914,6498,4134,1959,2514,2533,2683,2693,2680,2170,1696,1621,1269,1533,2680,3642,2722,3304,2793,1981,2448,3272
P76558,NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1,maeB,46,2485.6,82346.78295,2,469,2473,1691,1504,1340,1312,1134,1257,2829,3030,2860,2794,523,576,546,779,543,969,1595,986,1455,1245
P0AG67,30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1,rpsA,44,2834,61102.7043,2,23797,64900,33541,10729,16986,16209,20402,14453,18244,12112,9970,8662,8912,8261,15327,24274,17616,20320,17384,11286,17888,25304
P07813,Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2,leuS,43,2357.38,97153.28428,2,1846,2692,2379,1202,1491,1459,1505,1311,1622,1369,1191,1069,889,907,1339,2105,1784,1684,1371,1100,1472,1797
P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,thrA,42,3126.22,89045.79557,2,5703,2160,1769,2108,3423,5215,4679,10181,7938,3275,2045,1464,2571,2798,6417,4512,5283,9303,4388,2073,3815,9641
P0AFG3,2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1,sucA,42,2817.04,104977.5259,2,1706,6084,4467,4195,2635,3326,2752,4196,3640,2817,2323,2149,1246,1026,1781,1952,2400,3205,3022,1630,3418,3460
P00956,Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ileS,41,2164.51,104212.5396,2,2166,2886,2350,1348,1657,1621,1814,1921,1647,1363,1074,884,927,959,2086,2950,2024,2454,1625,1357,1569,2021
P25553,Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,aldA,41,2623.32,52221.71682,2,3501,11229,10885,17217,28815,17164,16408,27353,19056,31012,35721,36655,1866,1868,1805,1689,1864,5994,30561,28622,27057,9487
P10408,Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2,secA,40,2576.06,101940.9335,2,706,1794,1114,451,665,737,622,790,935,836,757,750,326,342,442,666,552,660,709,442,617,771
P21889,Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1,aspS,40,2303.66,65853.62132,2,2272,4356,2530,1505,1690,1748,1837,1605,2331,1930,1517,1483,1254,1252,2006,1914,2532,2747,2029,1397,1967,2590
P07395,Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2,pheT,40,2768.54,87305.38731,2,5023,7699,6066,2818,3989,4413,4670,4724,6350,5645,5764,5152,1716,1901,3251,4815,4214,4320,4744,3868,4230,5932
P07118,Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,valS,40,2513.25,108105.6884,2,1719,3107,2137,828,1025,1040,1114,1044,1298,970,749,650,508,502,962,1911,1132,1387,1188,756,1052,1407
P23847,Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1,dppA,40,2246.78,60237.23952,2,4939,2476,15161,8170,13275,8661,9853,11652,10138,12011,10693,9324,4327,4713,7740,5160,6365,7698,10451,8002,11094,7462
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,aceF,40,2531.68,66036.77654,2,9057,22341,10155,3567,6404,5696,5649,21930,7066,6302,5144,5610,7996,8856,10764,9534,13100,13628,6814,4888,6891,11238
P13029,Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2,katG,38,2675.38,79956.11435,2,2199,2215,1900,2683,3221,5526,3180,3661,3298,4104,4575,5007,485,435,1541,3729,2122,2182,3900,3944,3254,2927
P0AES4,DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1,gyrA,38,2233.08,96885.40294,2,750,1873,1093,479,579,779,711,607,1157,848,734,636,401,388,506,855,671,712,726,405,637,896
P08200,Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1,icd,38,2595.05,45709.46787,2,33670,19445,34427,30054,29587,31728,24591,35445,30532,27433,22201,15274,13663,14036,37449,29759,28245,32222,33652,21773,28121,23699
P0ABB4,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,atpD,38,2757.77,50275.81931,2,24156,42417,48805,16016,23707,25159,26449,30533,24035,19994,14634,10875,7040,6955,13916,16817,13132,23770,24279,14507,25885,24016
P04825,Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2,pepN,37,2372.98,98838.72264,2,1296,2506,1944,1215,1442,1301,1418,1327,1358,1366,1287,1036,604,678,1056,1436,1364,1411,1429,978,1324,1472
P0AD61,Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1,pykF,36,2143.91,50679.24536,2,8902,10333,9259,4455,4816,7011,7111,3406,7111,5143,4493,5255,6420,5873,5929,8994,9675,10167,6069,6137,4950,11825
P0A9G6,Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,aceA,36,2786.72,47473.57659,2,28173,15283,25688,242737,139131,87949,74908,48723,109529,184169,200923,218132,19208,18695,43571,60986,23676,28038,138987,195985,121542,33323
P0AC33,"Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2",fumA,36,2533.65,60242.56175,2,1352,6237,5154,4783,4156,2807,2523,3289,4712,3725,2337,1543,179,178,778,649,1220,2149,4336,2088,4416,2749
P09546,Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3,putA,36,2535.67,143707.3978,2,128,1513,873,117,123,172,134,120,169,151,108,95,106,113,156,113,178,165,114,77,114,136
P21179,Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1,katE,35,2211.86,84092.42396,2,1180,761,616,2061,2429,1822,1863,1150,1603,2315,2779,3141,607,602,1202,616,2033,884,1791,3328,2113,1121
P0A6Z3,Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1,htpG,35,1847.19,71360.33894,2,2096,8121,4816,1330,1939,1951,1973,1554,1942,1679,1341,1130,1892,1958,1864,7184,2620,2253,1985,1162,2106,2069
P0A6P1,Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2,tsf,35,2366.23,30385.76806,2,19872,44439,36078,8017,12406,15725,15125,12702,10783,7679,6264,5277,11102,10314,21190,18115,21680,17206,11768,8289,12319,17724
P08839,Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1,ptsI,35,2206.55,63503.89517,2,10158,5193,4399,2651,3257,6470,4118,3075,6956,5090,4040,3375,3060,3538,5527,6983,6137,4769,5355,4457,3423,9261
P0A6E4,Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2,argG,35,2674.37,49848.81733,2,8325,1035,1307,2393,3172,4082,4295,3341,4294,2491,2377,2240,2173,1914,4802,8242,6240,4874,3963,2880,3827,5915
P0A6F3,Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2,glpK,35,2432.72,56177.25025,2,496,13194,24980,527,688,426,27858,612,849,1140,1081,1018,513,537,408,531,420,409,783,414,570,425
P0A9M8,Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2,pta,34,2290.93,77105.88254,2,1148,2679,1874,877,1094,1238,1053,3512,1519,1488,1389,1405,1199,1147,1187,1784,1837,1505,1144,909,1136,1461
P0A850,Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1,tig,34,2152.85,48144.85133,2,24929,56164,34934,11077,15332,15920,18285,14424,14812,12471,9580,7344,7596,6986,17052,19530,15756,21681,17976,11402,18740,21284
P0A940,Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1,bamA,34,2111.5,90478.46722,2,2029,3023,2921,1167,1708,1794,1891,1962,1452,1349,1183,956,971,812,1942,1900,2178,1848,1687,1255,1562,1898
P05055,Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3,pnp,34,2010.85,77034.97797,2,3171,6269,4446,2343,3171,3473,3275,2931,4772,4076,3482,3169,1566,1457,1928,2642,2888,3331,3660,2234,3146,4051
P0A6T1,Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1,pgi,34,2068.73,61472.99513,2,4601,5809,7317,2918,3204,4260,4494,2572,3773,3049,2677,2443,2663,2656,3751,5862,6171,5591,3898,3461,3150,4632
P0AC41,Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1,sdhA,34,2804.82,64363.08691,2,2083,8367,6275,6360,4147,4507,3118,4984,6341,5840,5247,4903,696,713,1704,2402,1978,3181,4020,2734,4172,3371
P0A9M0,Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1,lon,33,2210.84,87364.80487,2,1139,3411,1726,678,972,1121,1235,1182,1456,1159,877,743,741,826,985,1863,1406,1373,1401,869,1195,1585
P27550,Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2,acs,33,1996.87,72030.23532,2,995,2346,4067,6590,11943,7848,3967,5485,7312,14562,14431,14683,3624,4132,1130,1151,1090,1987,10100,9872,9177,2489
P23538,Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5,ppsA,33,1820.57,87361.60027,2,1158,2394,2161,2609,3040,1574,1851,4184,1852,2098,1870,1824,1265,1229,1896,1681,2050,1246,1929,1761,3507,607
P04079,GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1,guaA,33,2391.7,58623.86483,2,3870,3818,13840,1392,2089,2535,2318,1640,2373,1473,1107,808,1468,1448,2930,3305,3242,2675,1686,1295,2459,2993
P22523,Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2,mukB,33,2059.61,170107.5558,2,199,463,260,152,175,235,199,212,293,268,266,239,48,44,155,302,210,279,260,165,208,319
P0A9W3,Uncharacterized ABC transporter ATP-binding protein YjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2,yjjK,32,2281.37,62386.25685,2,2571,4583,4916,1597,2442,2461,2733,2259,2597,1817,1392,1344,1035,1074,1915,3375,1940,2402,2873,1837,2838,3079
P0AES6,DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2,gyrB,32,2076.1,89875.87852,2,842,1700,1294,528,620,783,753,697,969,755,661,534,588,547,657,843,879,786,705,475,617,1004
P21513,Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6,rne,32,2572.23,118106.8771,2,848,1624,1296,565,717,998,751,665,1279,1119,939,864,535,655,699,1129,744,894,979,566,664,1111
P0A8M3,Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1,thrS,32,1942.28,73948.79422,2,939,1935,1146,646,891,850,947,817,1368,1128,1032,1071,688,608,754,1506,988,1053,834,652,789,1118
P0A799,Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,pgk,32,2518.51,41074.62371,2,40039,57863,61210,29802,30847,30790,34333,28150,30930,26962,21336,21372,24266,23448,44601,38747,41230,40867,25203,29926,27811,46061
P00370,NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,gdhA,32,1927.2,48532.35541,2,6343,1137,2401,3650,3100,5056,4152,3776,8053,5862,4032,2559,637,680,4967,2509,5937,5418,4236,2406,3520,6184
P0A825,Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1,glyA,32,2089.47,45269.96251,2,24510,10374,14714,9091,13951,16718,14060,15279,13257,9219,6871,5125,9175,8548,24969,19720,24215,21797,16057,12529,16588,21028
P23843,Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2,oppA,32,1916.49,60842.91364,2,5755,6684,30286,2957,5504,6786,4991,5510,6618,6163,5482,4274,7917,8660,14097,3358,6756,9196,5278,4291,6485,6056
P0A9A6,Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1,ftsZ,32,2379.17,40280.55906,2,6070,7898,7611,3181,3903,4423,4321,4167,3621,2976,2564,2224,1453,1599,5664,5243,5171,5988,4712,3098,4363,5163
P08997,Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1,aceB,32,2238.64,60217.52759,2,4393,2422,3345,20350,11574,10897,8308,4700,11474,15539,16882,15952,4146,3429,11216,15460,6073,5058,12726,16308,9008,4842
P33602,NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4,nuoG,32,2198.98,100217.9683,2,934,3781,2271,871,1391,1408,1467,1332,1510,1505,1275,1226,194,175,362,568,770,815,1469,905,1428,1477
P17846,Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4,cysI,31,1902.4,63939.93503,2,3011,620,1641,1575,2033,2175,2553,1931,1971,1408,1055,980,233,211,890,1952,1542,1791,1849,1333,1748,2699
P00582,DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,polA,31,2183.47,103035.5166,2,440,912,593,352,445,442,443,482,460,398,360,340,204,222,278,392,362,417,381,329,380,423
P0A9B2,Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2,gapA,31,1793.43,35492.2309,2,47083,48645,47006,20252,22597,30079,32565,21072,33992,21446,15357,13174,16914,17821,25284,51517,39132,39747,27169,16649,24432,62762
P15639,Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1,purH,31,1871.94,57274.98651,2,2728,891,2708,1138,2134,2129,2376,2584,2258,1276,1010,832,1415,1226,2365,3268,2956,2502,1864,1366,2185,2814
P0A853,Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1,tnaA,31,1872.16,52721.57894,2,613,44379,77262,2409,1660,1103,1045,886,2164,3073,3055,3743,451,362,514,761,584,652,1655,1392,1726,700
P25516,Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3,acnA,31,2147.6,97597.74141,2,595,975,785,1601,1333,1525,808,785,980,1298,1452,1343,537,568,598,668,660,505,1265,1309,1179,675
P33599,NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3,nuoC,31,1769.66,68174.53178,2,935,3225,2613,889,1324,1542,1631,1067,1743,1579,1501,1264,206,218,509,763,896,997,1402,909,1220,1508
P0A9C5,Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2,glnA,30,1686.3,51852.71686,2,17828,7286,8691,4983,6478,7101,10251,7185,11472,7979,6991,6998,3323,3485,9159,12088,15327,10670,9280,6009,6422,13251
P09151,2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5,leuA,30,2302.65,57244.09138,2,2711,885,894,4243,2917,3170,3381,2093,3700,3827,3791,5032,1835,1460,6311,4732,2207,5256,3334,4272,3468,3810
P37685,Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2,aldB,30,1607.71,56252.47906,2,589,729,715,1711,2373,1148,1055,1359,1404,3113,4715,7135,3190,3130,714,660,501,594,1413,2931,1181,455
P06149,D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3,dld,30,1565.74,64553.60212,2,608,449,619,672,691,577,557,577,660,624,521,591,397,440,646,427,602,747,573,514,604,548
P37330,Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3,glcB,30,1775.61,80419.85713,2,282,632,658,2377,990,1074,767,289,835,1555,1741,1365,528,535,282,380,319,436,1168,1283,900,443
P0ABH7,Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1,gltA,30,2043.46,47965.89357,2,9671,16361,22905,34014,18189,22205,17601,37156,31664,26675,26529,25070,7346,7213,11332,15412,10203,16664,28231,18130,19403,20067
P35340,Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2,ahpF,29,1822.39,56124.08085,2,2435,5161,4090,2203,2237,3951,2320,1820,2033,1795,1394,1098,388,353,2204,3201,3229,3420,2414,1484,2379,3058
P0A910,Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,ompA,29,2046.35,37159.64679,2,119680,146530,155611,74605,80912,121079,102913,70788,123520,101824,82588,72016,103070,110803,156261,78742,116878,118659,75848,73020,89206,91352
P17169,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4,glmS,29,2457.09,66834.61906,2,4025,5271,5985,1661,2923,1902,3600,2797,2963,2134,1611,1396,1339,1532,2182,4978,2912,4036,2422,2110,3345,4185
P16659,Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4,proS,29,2204.63,63634.68294,2,4322,6443,5831,2267,3311,3075,3719,3209,3782,2779,2164,1944,2124,2101,2586,4049,4284,4418,3858,2720,3844,4835
P60422,50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2,rplB,29,1979.3,29824.00117,2,14191,39858,27001,6847,9745,14393,12282,11648,17428,11427,8608,8213,7645,7045,10501,24089,14846,14197,11391,6446,10100,19492
P00452,Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2,nrdA,29,1369.24,82789.58209,2,560,1236,1362,348,500,742,667,724,1020,864,798,543,340,325,466,880,555,671,693,434,516,801
P27298,Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3,prlC,29,1525.67,77100.625,2,1350,2706,1832,1084,1062,1041,1204,1029,947,811,788,601,564,594,1153,1522,1380,1116,1312,1031,1080,1324
P0A6B7,Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1,iscS,29,2188.87,45042.91969,2,13683,12757,15753,9479,9022,10000,12342,9824,12450,8341,6609,4353,1443,1457,11673,16080,10393,15564,12332,9043,8615,14541
P13035,Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3,glpD,29,1604.83,56697.06997,2,135,3852,5702,107,91,97,5946,84,104,100,99,82,172,200,179,203,196,173,162,120,132,174
P0ABB0,ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1,atpA,29,2800.06,55169.73662,2,14552,23968,33172,11045,16436,18991,17975,19369,16490,13452,10761,8336,5415,5207,11021,13294,11071,16490,17105,11769,20018,19100
P38038,Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4,cysJ,28,2175.11,66210.86614,2,3317,733,2069,1571,1980,2087,2586,1873,2005,1314,907,755,361,378,1416,3200,2638,2482,2028,1414,2064,3710
P0AAI3,ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1,ftsH,28,1906.04,70645.4092,2,2236,3956,2991,1234,1660,1854,2098,1987,2340,1867,1578,1492,972,924,2218,2858,2501,2316,1823,1467,1744,2278
P0AG30,Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1,rho,28,2097.93,46956.59013,2,3243,5934,4071,2062,2393,2286,2583,2343,2789,2213,1849,1837,1496,1529,2365,3182,3003,2727,2543,1696,2669,3129
P0A817,S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2,metK,28,1718.3,41907.1862,2,12499,7068,7432,3546,5204,7452,6822,6783,7688,5236,4316,3654,1784,1539,13006,15767,23325,11499,6447,4925,6038,8535
P0ADG7,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1,guaB,28,2370.1,51972.01166,2,11237,5909,33132,4041,5972,5952,5556,4400,7003,4021,2795,2499,5959,6582,13023,7942,11468,8773,4655,3240,6679,7601
Q59385,Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4,copA,27,1782.14,87799.79865,2,2769,632,2563,3707,4224,2289,3977,4131,2884,3126,2413,2376,1069,1313,2252,5318,9561,3281,3943,3083,3913,3535
P0AFF6,Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1,nusA,27,1899.01,54819.06259,2,5576,10025,7264,2771,3926,4392,4323,3807,3690,3117,2480,2232,2095,2597,4843,4199,4065,5048,4600,3467,4656,5474
P0A7Z4,DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1,rpoA,27,1907.81,36471.13747,2,14575,35102,25313,11406,14131,12583,14801,12963,16138,14085,10694,9661,7248,8734,15658,14407,13985,14154,11451,9998,11067,13757
P0A8N3,Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2,lysS,27,2561.23,57549.12811,2,2565,4837,3293,1556,1890,2002,1999,1538,2393,1796,1425,1234,1410,1191,2017,3023,2738,2830,1950,1343,1945,2884
