Genes	b_number	Product	MW_kDa	ecocyc_accession_id	Product	UniProt	biocyc_id
acpP	b1094	octanoyl-ACP // lipoyl-ACP // <i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // <i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP // succinyl-ACP // <i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP // 3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-3-hydroxybutanoyl-ACP // <i>trans</i> oct-2-enoyl-ACP // <i>trans</i>-but-2-enoyl-ACP // (3<i>R</i>)-3-hydroxyoctanoyl-ACP // <i>trans</i>-hexadec-2-enoyl-ACP // holo-[acyl-carrier protein] // acyl carrier protein	8.639505 // 8.64	ECK1080	octanoyl-ACP // lipoyl-ACP // <i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // <i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP // succinyl-ACP // <i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP // 3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-3-hydroxybutanoyl-ACP // <i>trans</i> oct-2-enoyl-ACP // <i>trans</i>-but-2-enoyl-ACP // (3<i>R</i>)-3-hydroxyoctanoyl-ACP // <i>trans</i>-hexadec-2-enoyl-ACP // holo-[acyl-carrier protein] // acyl carrier protein	P0A6A8	octanoyl-ACP // lipoyl-ACP // <i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // <i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP // succinyl-ACP // <i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP // 3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-3-hydroxybutanoyl-ACP // <i>trans</i> oct-2-enoyl-ACP // <i>trans</i>-but-2-enoyl-ACP // (3<i>R</i>)-3-hydroxyoctanoyl-ACP // <i>trans</i>-hexadec-2-enoyl-ACP // holo-[acyl-carrier protein] // acyl carrier protein
acpS	b2563	holo-[acyl-carrier-protein] synthase	14.052001	ECK2561	holo-[acyl-carrier-protein] synthase	P24224	HOLO-ACP-SYNTH-MONOMER
acpT	b3475	holo-[acyl carrier protein] synthase 2	21.768002	ECK3459	holo-[acyl carrier protein] synthase 2	P37623	EG12221-MONOMER
acrA	b0463	multidrug efflux pump membrane fusion lipoprotein AcrA	42.197002	ECK0457	multidrug efflux pump membrane fusion lipoprotein AcrA	P0AE06	EG11703-MONOMER
acrB	b0462	multidrug efflux pump RND permease AcrB	113.573006	ECK0456	multidrug efflux pump RND permease AcrB	P31224	ACRB-MONOMER
acrD	b2470	multidrug efflux pump RND permease AcrD	113.047005	ECK2465	multidrug efflux pump RND permease AcrD	P24177	ACRD-MONOMER
acrE	b3265	multidrug efflux pump membrane fusion lipoprotein AcrE	41.318	ECK3252	multidrug efflux pump membrane fusion lipoprotein AcrE	P24180	EG10266-MONOMER
acrF	b3266	multidrug efflux pump RND permease AcrF	111.454	ECK3253	multidrug efflux pump RND permease AcrF	P24181	ACRF-MONOMER
acrR	b0464	DNA-binding transcriptional repressor AcrR	24.767002	ECK0458	DNA-binding transcriptional repressor AcrR	P0ACS9	EG12116-MONOMER
acrZ	b0762	multidrug efflux pump accessory protein AcrZ	5.3	ECK0751	multidrug efflux pump accessory protein AcrZ	P0AAW9	G6396-MONOMER
acs	b4069	acetyl-CoA synthetase (AMP-forming)	72.094	ECK4062	acetyl-CoA synthetase (AMP-forming)	P27550	ACS-MONOMER
actP	b4067	acetate/glycolate:cation symporter	59.197002	ECK4060	acetate/glycolate:cation symporter	P32705	YJCG-MONOMER
actS	b2865	amidase activator	26.565	ECK2861	amidase activator	Q46798	G7484-MONOMER
ada	b2213	DNA-binding transcriptional dual regulator / DNA repair protein Ada	39.324	ECK2205	DNA-binding transcriptional dual regulator / DNA repair protein Ada	P06134	PD00230
add	b1623	adenosine deaminase	36.397003	ECK1618	adenosine deaminase	P22333	ADENODEAMIN-MONOMER
adeD	b3665	adenine deaminase	63.739002	ECK3656	adenine deaminase	P31441	EG11692-MONOMER
adeP	b3714	adenine:H<sup>+</sup> symporter	46.866	ECK3707	adenine:H<sup>+</sup> symporter	P31466	EG11724-MONOMER
adeQ	b3664	adenine transporter	46.934002	ECK3655	adenine transporter	P31440	EG11691-MONOMER
adhE	b1241	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE	96.12701	ECK1235	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE	P0A9Q7	ADHE-MONOMER
adhP	b1478	ethanol dehydrogenase / alcohol dehydrogenase	35.38	ECK1472	ethanol dehydrogenase / alcohol dehydrogenase	P39451	ADHP-MONOMER
adiA	b4117	arginine decarboxylase, degradative	84.425	ECK4110	arginine decarboxylase, degradative	P28629	ARGDECARBOXDEG-MONOMER
adiC	b4115	arginine:agmatine antiporter	46.843002	ECK4108	arginine:agmatine antiporter	P60061	YJDE-MONOMER
adiY	b4116	DNA-binding transcriptional activator AdiY	29.007002	ECK4109	DNA-binding transcriptional activator AdiY	P33234	EG11966-MONOMER
adk	b0474	adenylate kinase	23.586	ECK0468	adenylate kinase	P69441	ADENYL-KIN-MONOMER
aegA	b2468	putative oxidoreductase AegA	71.844	ECK2463	putative oxidoreductase AegA	P37127	EG12409-MONOMER
aer	b3072	aerotaxis receptor	55.066	ECK3062	aerotaxis receptor	P50466	G7595-MONOMER
aes	b0476	acetylesterase	36.034	ECK0470	acetylesterase	P23872	EG11101-MONOMER
afuC	b0262	CP4-6 prophage; ABC transporter ATP-binding protein AfuC	39.059002	ECK0264	CP4-6 prophage; ABC transporter ATP-binding protein AfuC	P37009	YAGC-MONOMER
agaB	b3138	galactosamine-specific PTS enzyme IIB component	17.622002	ECK3126	galactosamine-specific PTS enzyme IIB component	P42909	AGAB-MONOMER
agaC	b3139	galactosamine-specific PTS enzyme IIC component	28.645	ECK3127	galactosamine-specific PTS enzyme IIC component	P42910	AGAC-MONOMER
agaD	b3140	galactosamine-specific PTS enzyme IID component	29.001001	ECK3128	galactosamine-specific PTS enzyme IID component	P42911	AGAD-MONOMER
agaI	b3141	putative deaminase AgaI	27.724	ECK3129	putative deaminase AgaI	P42912	G7636-MONOMER
agaR	b3131	DNA-binding transcriptional repressor AgaR	29.572	ECK3119	DNA-binding transcriptional repressor AgaR	P0ACK2	G7630-MONOMER
agaS	b3136	putative galactosamine-6-phosphate deaminase/isomerase	41.783	ECK3124	putative galactosamine-6-phosphate deaminase/isomerase	P42907	G7634-MONOMER
agaV	b3133	<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component	17.086	ECK3121	<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component	P42904	G7632-MONOMER
agaW	b3134	<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component		ECK3122	<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component	P42905	G7633-MONOMER
agp	b1002	glucose-1-phosphatase	45.683002	ECK0993	glucose-1-phosphatase	P19926	GLUCOSE-1-PHOSPHAT-MONOMER
agrA	b4712	small RNA AgrA		ECK4569	small RNA AgrA		RNA0-379
agrB	b4713	small regulatory RNA AgrB		ECK4570	small regulatory RNA AgrB		RNA0-380
ahpC	b0605	alkyl hydroperoxide reductase, AhpC component	20.761002	ECK0599	alkyl hydroperoxide reductase, AhpC component	P0AE08	EG11384-MONOMER
ahpF	b0606	alkyl hydroperoxide reductase, AhpF component	56.177002	ECK0600	alkyl hydroperoxide reductase, AhpF component	P35340	EG11385-MONOMER
ahr	b4269	NADPH-dependent aldehyde reductase Ahr	36.502003	ECK4262	NADPH-dependent aldehyde reductase Ahr	P27250	EG11436-MONOMER
aidB	b4187	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	60.590004	ECK4183	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	P33224	EG11811-MONOMER
ais	b2252	putative lipopolysaccharide core heptose(II)-phosphate phosphatase	22.257002	ECK2245	putative lipopolysaccharide core heptose(II)-phosphate phosphatase	P45565	G7165-MONOMER
alaA	b2290	glutamate&mdash;pyruvate aminotransferase AlaA	45.517002	ECK2284	glutamate&mdash;pyruvate aminotransferase AlaA	P0A959	G7184-MONOMER
alaB		glutamate&mdash;pyruvate aminotransferase AlaB			glutamate&mdash;pyruvate aminotransferase AlaB		MONOMER0-1241
alaC	b2379	glutamate&mdash;pyruvate aminotransferase AlaC	46.216003	ECK2375	glutamate&mdash;pyruvate aminotransferase AlaC	P77434	G7242-MONOMER
alaE	b2670	AlaE	16.949001	ECK2664	AlaE	P64550	G7399-MONOMER
alaS	b2697	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	96.032005	ECK2692	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	P00957	ALAS-MONOMER
alaT	b3853	L-alanyl-tRNA<SUP>alaT</SUP> // tRNA-Ala(UGC)		ECK3845	L-alanyl-tRNA<SUP>alaT</SUP> // tRNA-Ala(UGC)		L-alanyl-tRNA<SUP>alaT</SUP> // tRNA-Ala(UGC)
alaU	b3276	tRNA-Ala(UGC)		ECK3263	tRNA-Ala(UGC)		alaU-tRNA
alaV	b0203	tRNA-Ala(UGC)		ECK0203	tRNA-Ala(UGC)		alaV-tRNA
alaW	b2397	tRNA-Ala(GGC)		ECK2391	tRNA-Ala(GGC)		alaW-tRNA
alaX	b2396	tRNA-Ala(GGC)		ECK2390	tRNA-Ala(GGC)		alaX-tRNA
aldA	b1415	aldehyde dehydrogenase A	52.273003	ECK1408	aldehyde dehydrogenase A	P25553	LACTALDDEHYDROG-MONOMER
aldB	b3588	aldehyde dehydrogenase B	56.306004	ECK3577	aldehyde dehydrogenase B	P37685	ALDDEHYDROGB-MONOMER
alkA	b2068	DNA-3-methyladenine glycosylase 2	31.393002	ECK2062	DNA-3-methyladenine glycosylase 2	P04395	EG11222-MONOMER
alkB	b2212	DNA oxidative demethylase	24.076	ECK2204	DNA oxidative demethylase	P05050	EG10037-MONOMER
allA	b0505	ureidoglycolate lyase	18.17	ECK0498	ureidoglycolate lyase	P77731	G6275-MONOMER
allB	b0512	allantoinase	49.602	ECK0505	allantoinase	P77671	G6281-MONOMER
allC	b0516	allantoate amidohydrolase	45.694004	ECK0509	allantoate amidohydrolase	P77425	G6285-MONOMER
allD	b0517	ureidoglycolate dehydrogenase	37.967003	ECK0510	ureidoglycolate dehydrogenase	P77555	G6286-MONOMER
allE	b0515	(S)-ureidoglycine aminohydrolase	28.730001	ECK0508	(S)-ureidoglycine aminohydrolase	P75713	G6284-MONOMER
allR	b0506	DNA-binding transcriptional repressor AllR	29.27	ECK0499	DNA-binding transcriptional repressor AllR	P0ACN4	G6276-MONOMER
allS	b0504	DNA-binding transcriptional activator AllS	34.512	ECK0497	DNA-binding transcriptional activator AllS	P0ACR0	G6274-MONOMER
allZ	b4831	small RNA AllZ		ECK4688	small RNA AllZ		RNA0-424
alpA	b2624	CP4-57 prophage; DNA-binding transcriptional activator AlpA	8.133	ECK2620	CP4-57 prophage; DNA-binding transcriptional activator AlpA	P33997	PD02850
alr	b4053	alanine racemase 1	39.153004	ECK4045	alanine racemase 1	P0A6B4	ALARACEBIOSYN-MONOMER
alsA	b4087	D-allose ABC transporter ATP binding subunit	56.745003	ECK4080	D-allose ABC transporter ATP binding subunit	P32721	YJCW-MONOMER
alsB	b4088	D-allose ABC transporter periplasmic binding protein	32.91	ECK4081	D-allose ABC transporter periplasmic binding protein	P39265	YJCX-MONOMER
alsC	b4086	D-allose ABC transporter membrane subunit	34.316	ECK4079	D-allose ABC transporter membrane subunit	P32720	YJCV-MONOMER
alsE	b4085	D-allulose-6-phosphate 3-epimerase	26.109001	ECK4078	D-allulose-6-phosphate 3-epimerase	P32719	EG11957-MONOMER
alsK	b4084	D-allose kinase	33.821003	ECK4077	D-allose kinase	P32718	EG11956-MONOMER
alsR	b4089	DNA-binding transcriptional repressor AlsR	32.362003	ECK4082	DNA-binding transcriptional repressor AlsR	P0ACS7	G7821-MONOMER
alx	b3088	putative membrane-bound redox modulator Alx	35.909	ECK3079	putative membrane-bound redox modulator Alx	P42601	G7607-MONOMER
amiA	b2435	<i>N</i>-acetylmuramoyl-L-alanine amidase A	31.412	ECK2430	<i>N</i>-acetylmuramoyl-L-alanine amidase A	P36548	NACMURLALAAMI1-MONOMER
amiB	b4169	<i>N</i>-acetylmuramoyl-L-alanine amidase B	47.985	ECK4165	<i>N</i>-acetylmuramoyl-L-alanine amidase B	P26365	NACMURLALAAMI2-MONOMER
amiC	b2817	<i>N</i>-acetylmuramoyl-L-alanine amidase C	45.634003	ECK2813	<i>N</i>-acetylmuramoyl-L-alanine amidase C	P63883	G7458-MONOMER
amiD	b0867	<i>N</i>-acetylmuramoyl-L-alanine amidase D	31.072002	ECK0858	<i>N</i>-acetylmuramoyl-L-alanine amidase D	P75820	G6452-MONOMER
amn	b1982	AMP nucleosidase	53.995003	ECK1977	AMP nucleosidase	P0AE12	AMP-NUCLEOSID-MONOMER
ampC	b4150	&beta;-lactamase	41.556004	ECK4146	&beta;-lactamase	P00811	EG10040-MONOMER
ampD	b0110	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase	20.536001	ECK0109	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase	P13016	EG10041-MONOMER
ampE	b0111	protein AmpE	32.122	ECK0110	protein AmpE	P0AE14	EG10042-MONOMER
ampG	b0433	muropeptide:H<sup>+</sup> symporter	53.245003	ECK0427	muropeptide:H<sup>+</sup> symporter	P0AE16	AMPG-MONOMER
ampH	b0376	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase	41.849003	ECK0371	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase	P0AD70	EG12867-MONOMER
amtB	b0451	ammonium transporter	44.515003	ECK0445	ammonium transporter	P69681	AMTB-MONOMER
amyA	b1927	alpha-amylase	56.639004	ECK1926	alpha-amylase	P26612	ALPHA-AMYL-CYTO-MONOMER
anmK	b1640	anhydro-<i>N</i>-acetylmuramic acid kinase	39.496002	ECK1636	anhydro-<i>N</i>-acetylmuramic acid kinase	P77570	G6880-MONOMER
ansA	b1767	L-asparaginase 1	37.127003	ECK1765	L-asparaginase 1	P0A962	ANSA-MONOMER
ansB	b2957	L-asparaginase 2	36.851	ECK2952	L-asparaginase 2	P00805	ANSB-MONOMER
ansP	b1453	L-asparagine transporter	54.233	ECK1447	L-asparagine transporter	P77610	ANSP-MONOMER
apaG	b0050	DUF525 domain-containing protein ApaG	13.867001	ECK0051	DUF525 domain-containing protein ApaG	P62672	EG10047-MONOMER
apaH	b0049	diadenosine tetraphosphatase	31.297	ECK0050	diadenosine tetraphosphatase	P05637	EG10048-MONOMER
aphA	b4055	acid phosphatase / phosphotransferase	26.104002	ECK4047	acid phosphatase / phosphotransferase	P0AE22	APHA-MONOMER
appA	b0980	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	47.057003	ECK0971	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	P07102	APPA-MONOMER
appB	b0979	cytochrome <i>bd</i>-II subunit 2	42.424004	ECK0970	cytochrome <i>bd</i>-II subunit 2	P26458	APPB-MONOMER
appC	b0978	cytochrome <i>bd</i>-II subunit 1	57.920002	ECK0969	cytochrome <i>bd</i>-II subunit 1	P26459	APPC-MONOMER
appX	b4592	cytochrome <i>bd</i>-II accessory subunit AppX	3.5970001	ECK4402	cytochrome <i>bd</i>-II accessory subunit AppX	P24244	MONOMER0-2817
appY	b0564	DLP12 prophage; DNA-binding transcriptional activator AppY	28.763	ECK0556	DLP12 prophage; DNA-binding transcriptional activator AppY	P05052	PD00967
apt	b0469	adenine phosphoribosyltransferase	19.859001	ECK0463	adenine phosphoribosyltransferase	P69503	ADENPRIBOSYLTRAN-MONOMER
aqpZ	b0875	water channel AqpZ	23.703001	ECK0866	water channel AqpZ	P60844	AQPZ-MONOMER
araA	b0062	L-arabinose isomerase	56.074	ECK0063	L-arabinose isomerase	P08202	ARABISOM-MONOMER
araB	b0063	ribulokinase	61.089005	ECK0064	ribulokinase	P08204	RIBULOKIN-MONOMER
araC	b0064	AraC	33.384003	ECK0065	AraC	P0A9E0	PD00242
araD	b0061	L-ribulose-5-phosphate 4-epimerase AraD	25.519001	ECK0062	L-ribulose-5-phosphate 4-epimerase AraD	P08203	RIBULPEPIM-MONOMER
araE	b2841	arabinose:H<sup>+</sup> symporter	51.684002	ECK2839	arabinose:H<sup>+</sup> symporter	P0AE24	ARAE-MONOMER
araF	b1901	arabinose ABC transporter periplasmic binding protein	35.541	ECK1899	arabinose ABC transporter periplasmic binding protein	P02924	ARAF-MONOMER
araG	b1900	arabinose ABC transporter ATP binding subunit	55.018	ECK1898	arabinose ABC transporter ATP binding subunit	P0AAF3	ARAG-MONOMER
araH	b4460	arabinose ABC transporter membrane subunit	34.211002	ECK1897	arabinose ABC transporter membrane subunit	P0AE26	ARAH-MONOMER
araJ	b0396	putative transport protein AraJ	41.926003	ECK0390	putative transport protein AraJ	P23910	ARAJ-MONOMER
arcA	b4401	DNA-binding transcriptional dual regulator ArcA-phosphorylated // DNA-binding transcriptional dual regulator ArcA	27.291971 // 27.292002	ECK4393	DNA-binding transcriptional dual regulator ArcA-phosphorylated // DNA-binding transcriptional dual regulator ArcA	P0A9Q1	DNA-binding transcriptional dual regulator ArcA-phosphorylated // DNA-binding transcriptional dual regulator ArcA
arcB	b3210	ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB	87.98277 // 87.983	ECK3200	ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB	P0AEC3	ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB
arcZ	b4450	small regulatory RNA ArcZ		ECK3199	small regulatory RNA ArcZ		SRAH-RNA
arfA	b4550	alternative ribosome-rescue factor A	8.1710005	ECK3278	alternative ribosome-rescue factor A	P36675	MONOMER0-2687
arfB	b0191	peptidyl-tRNA hydrolase, ribosome rescue factor	15.623001	ECK0191	peptidyl-tRNA hydrolase, ribosome rescue factor	P40711	EG12354-MONOMER
argA	b2818	N-acetylglutamate synthase	49.195004	ECK2814	N-acetylglutamate synthase	P0A6C5	N-ACETYLTRANSFER-MONOMER
argB	b3959	acetylglutamate kinase	27.159	ECK3950	acetylglutamate kinase	P0A6C8	ACETYLGLUTKIN-MONOMER
argC	b3958	N-acetylglutamylphosphate reductase	35.952003	ECK3949	N-acetylglutamylphosphate reductase	P11446	N-ACETYLGLUTPREDUCT-MONOMER
argD	b3359	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase	43.767002	ECK3347	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase	P18335	ACETYLORNTRANSAM-MONOMER
argE	b3957	acetylornithine deacetylase	42.347	ECK3948	acetylornithine deacetylase	P23908	ACETYLORNDEACET-MONOMER
argF	b0273	CP4-6 prophage; ornithine carbamoyltransferase ArgF	36.827003	ECK0274	CP4-6 prophage; ornithine carbamoyltransferase ArgF	P06960	CHAINF-MONOMER
argG	b3172	argininosuccinate synthetase	49.898003	ECK3161	argininosuccinate synthetase	P0A6E4	ARGSUCCINSYN-MONOMER
argH	b3960	argininosuccinate lyase	50.318	ECK3951	argininosuccinate lyase	P11447	ARGSUCCINLYA-MONOMER
argI	b4254	ornithine carbamoyltransferase ArgI	36.907	ECK4247	ornithine carbamoyltransferase ArgI	P04391	CHAINI-MONOMER
argK	b2918	methylmalonyl-CoA mutase-interacting GTPase YgfD	36.704002	ECK2914	methylmalonyl-CoA mutase-interacting GTPase YgfD	P27254	EG11445-MONOMER
argL	b4766	putative translational regulatory protein ArgL	3.6810002	ECK4623	putative translational regulatory protein ArgL	P0DSE4	MONOMER0-4479
argO	b2923	L-arginine exporter	23.176	ECK2919	L-arginine exporter	P11667	YGGA-MONOMER
argP	b2916	DNA-binding transcriptional dual regulator ArgP	33.472	ECK2912	DNA-binding transcriptional dual regulator ArgP	P0A8S1	EG10490-MONOMER
argQ	b2691	tRNA-Arg(ACG)		ECK2686	tRNA-Arg(ACG)		argQ-tRNA
argR	b3237	DNA-binding transcriptional dual regulator ArgR	16.994001	ECK3226	DNA-binding transcriptional dual regulator ArgR	P0A6D0	PD00194
argS	b1876	arginine&mdash;tRNA ligase	64.68301	ECK1877	arginine&mdash;tRNA ligase	P11875	ARGS-MONOMER
argT	b2310	lysine/arginine/ornithine ABC transporter periplasmic binding protein	27.992	ECK2304	lysine/arginine/ornithine ABC transporter periplasmic binding protein	P09551	ARGT-MONOMER
argU	b0536	tRNA-Arg(UCU)		ECK0529	tRNA-Arg(UCU)		argU-tRNA
argV	b2694	tRNA-Arg(ACG)		ECK2689	tRNA-Arg(ACG)		argV-tRNA
argW	b2348	tRNA-Arg(CCU)		ECK2342	tRNA-Arg(CCU)		argW-tRNA
argX	b3796	tRNA-Arg(CCG)		ECK3789	tRNA-Arg(CCG)		argX-tRNA
argY	b2693	tRNA-Arg(ACG)		ECK2688	tRNA-Arg(ACG)		argY-tRNA
argZ	b2692	tRNA-Arg(ACG)		ECK2687	tRNA-Arg(ACG)		argZ-tRNA
ariR	b1166	putative two-component system connector protein AriR	9.694	ECK1153	putative two-component system connector protein AriR	P75993	G6606-MONOMER
arnA	b2255	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	74.289	ECK2248	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	P77398	G7168-MONOMER
arnB	b2253	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	42.238003	ECK2246	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	P77690	G7166-MONOMER
